filename,psnr,ssim,lpips
00690.png,18.2881,0.7610,0.3091
00691.png,18.1853,0.7328,0.3075
00692.png,19.3351,0.7199,0.4628
00693.png,19.0978,0.7194,0.4523
00694.png,22.0078,0.7668,0.3964
00695.png,21.9676,0.7636,0.4013
00696.png,18.5930,0.7361,0.4325
00697.png,18.4406,0.7226,0.4343
00698.png,19.8829,0.7599,0.4773
00699.png,19.9343,0.7465,0.4843
00700.png,15.5214,0.7178,0.2938
00701.png,15.5582,0.7267,0.2906
00702.png,14.2050,0.7075,0.4994
00703.png,14.1977,0.7065,0.4970
00704.png,14.1848,0.7060,0.4993
00705.png,16.9911,0.7288,0.5414
00706.png,16.3051,0.7270,0.5434
00707.png,16.9102,0.7284,0.5388
00708.png,17.7375,0.7517,0.3684
00709.png,17.4857,0.7539,0.3628
00710.png,13.9506,0.7754,0.3659
00711.png,13.9468,0.7751,0.3655
00712.png,18.2842,0.8512,0.2756
00713.png,18.1864,0.8497,0.2760
00714.png,16.5340,0.6744,0.5114
00715.png,16.6190,0.6787,0.5125
00716.png,14.2208,0.8000,0.3160
00717.png,17.2828,0.7738,0.4176
00718.png,11.5828,0.6281,0.4622
00719.png,11.6091,0.6289,0.4625
00720.png,16.9393,0.7701,0.3840
00721.png,16.3744,0.7559,0.3916
00722.png,12.8358,0.6616,0.5701
00723.png,12.8838,0.6630,0.5540
00724.png,12.9696,0.5741,0.7036
00725.png,12.8567,0.5797,0.7057
00726.png,12.6169,0.5929,0.7279
00727.png,13.0116,0.5996,0.7403
00728.png,13.0075,0.5841,0.7457
00729.png,11.8157,0.6979,0.3796
00730.png,11.8993,0.7015,0.3911
00731.png,14.2546,0.7222,0.3532
00732.png,14.2977,0.7246,0.3659
00733.png,15.6393,0.7578,0.2910
00734.png,15.6371,0.7575,0.2918
00735.png,14.7684,0.6680,0.5065
00736.png,14.7580,0.6641,0.5076
00737.png,15.4706,0.7378,0.4132
00738.png,15.8628,0.7413,0.4500
00739.png,18.1719,0.7344,0.4591
00740.png,18.1203,0.7310,0.4634
00741.png,16.1085,0.7679,0.3312
00742.png,19.9105,0.7036,0.5154
00743.png,14.0600,0.7430,0.4415
00744.png,17.0060,0.7639,0.4568
00745.png,14.4692,0.6326,0.5006
00746.png,14.4828,0.6283,0.5066
00747.png,16.4310,0.7491,0.3531
00748.png,16.4931,0.7587,0.3476
00749.png,17.0811,0.7583,0.4736
00750.png,18.2047,0.7471,0.3616
00751.png,15.8771,0.7361,0.3623
00752.png,16.2693,0.7421,0.4093
00753.png,14.1511,0.7128,0.4649
00754.png,14.1666,0.7116,0.4638
00755.png,15.8297,0.7097,0.4804
00756.png,15.8272,0.7035,0.4815
00757.png,19.0983,0.7472,0.4664
00758.png,20.2859,0.7480,0.4147
00759.png,15.6036,0.6781,0.3687
00760.png,15.0599,0.6777,0.3795
00761.png,17.1841,0.7474,0.3475
00762.png,17.3398,0.7498,0.3490
00763.png,12.2547,0.6987,0.3516
00764.png,12.8460,0.7211,0.3566
00765.png,15.4646,0.6143,0.5046
00766.png,15.4510,0.6217,0.5051
00767.png,17.4309,0.6777,0.3267
00768.png,17.2461,0.6583,0.3422
00769.png,12.7503,0.6240,0.4555
00770.png,12.7316,0.6232,0.4625
00771.png,14.7463,0.5249,0.4781
00772.png,14.8798,0.5619,0.4810
00773.png,17.2903,0.7612,0.4423
00774.png,17.8198,0.7563,0.4495
00775.png,16.4371,0.6411,0.4251
00776.png,16.5218,0.6407,0.4265
00777.png,18.8573,0.6135,0.4694
00778.png,19.0700,0.6147,0.4718
00779.png,13.3570,0.6857,0.3674
00780.png,13.3599,0.6854,0.3731
00781.png,15.6659,0.6517,0.5460
00782.png,15.7001,0.6608,0.5465
00783.png,15.7037,0.6611,0.5471
00784.png,17.2894,0.5969,0.6142
00785.png,17.2794,0.5957,0.6180
00786.png,17.2905,0.5980,0.6154
00787.png,18.7925,0.6381,0.5567
00788.png,18.5529,0.6299,0.5580
00789.png,18.5295,0.6311,0.5511
